Provider Code,Provider Name,Provider Type
7725,Aboriginal Centre for the Performing Arts Pty Ltd,VET
2141,Aboriginal Islanders Development Scheme,HEP (Retired)
4396,Academy of Design Australia,Private HEP
7312,Academy of Hypnotic Science Pty Ltd,VET
7124,Academy of Information Technology Pty Ltd,Private HEP & VET
7028,Academy of Interactive Entertainment Ltd,VET
7403,Access Group Training Pty Limited (t/a Access Group Training),VET
7274,Access Training Institute Pty Ltd,VET
4411,Acknowledge Education Pty Ltd (t/a Stott's Colleges),Private HEP & VET
7398,ACT Education Group Pty Ltd (t/a Adelaide College of Technology),VET
7039,ACTE Pty Ltd (t/a Australian College of Training and Employment),VET
7340,Actors College of Theatre and Television,VET
2281,Acupuncture Colleges (Aust) Pty Ltd,HEP (Retired)
7425,"Adamattrin Pty Ltd as Trustee for Mesaric Family Trust (t/a Tri Training - Productivity, Performance, Skills)",VET
4395,Adelaide Central School of Art,Private HEP
4216,Adelaide College of Advanced Education,HEP (Retired)
4217,Adelaide College of Arts and Education,HEP (Retired)
4355,Adelaide College of Divinity ,Private HEP
7405,Advanced Education Australia Pty Ltd,VET
7407,Air Gold Coast Pty Ltd,VET
7417,Airline Academy of Australia Pty Ltd,VET
7048,Albury Wodonga Community College Ltd (t/a Australian College of Higher Education),VET (Retired)
7517,Alderdice & Associates,VET
7628,AlertForce,VET
4101,Alexander Mackie College of Advanced Education,HEP (Retired)
7069,Allied Educational Services Pty Ltd (t/a Pivot Point International Academy Melbourne),VET (Retired)
4407,Alphacrucis College,Private HEP & VET
7449,Anglican Church Property Trust Diocese of Canberra and Goulburn (t/a St Marks National Theological Centre),VET
7624,Apprentices-Trainees-Employment Limited,VET (Retired)
2272,Argyle College of TAFE (Goulburn),HEP (Retired)
2102,Armidale College of Advanced Education,HEP (Retired)
4301,Armidale Teachers College,HEP (Retired)
7206,Arrow Training Services,VET
7348,ASCET Institute of Technology Pty Ltd (t/a ASCET Tech),VET
7565,Ashley Institute of Training,VET
7141,Asia Pacific Training Institute Pty. Ltd.,VET
7819,Atkinson Training and Development Pty Limited,VET
7701,Aurora Training Institute,VET
7301,Australasian Academy of Cosmetic Dermal Science,VET
7541,Australasian Beauty Therapy Academy,VET
7085,Australasian College - Broadway,VET
7444,Australasian Institute of Ayurvedic Studies Pty Ltd,VET (Retired)
7345,Australia Moreton Education Group Pty Ltd (t/a Queensland Academy of Technology),VET
7108,Australian Academy of Vocational Education and Trades Pty Ltd (t/a Academia International),VET
7479,Australian Agricultural College Corporation,VET
7003,Australian Business Academy Pty Ltd,VET
7504,Australian Careers Institute Pty. Ltd. (t/a Sage Institute of Education),VET
3006,Australian Catholic University,Table A HEP & VET
7030,Australian College of Applied Education Pty Ltd (t/a Australian School of Tourism and Hotel Management),VET
7423,Australian College of Commerce & Management Pty Ltd,VET
7363,Australian College of Event Management Pty Ltd (t/a Sydney College of Event Management),VET
7568,Australian College of Finance Pty Ltd,VET
7756,Australian College of Fitness and Bodywork Pty Ltd,VET
7175,Australian College of Ministries,VET
4361,Australian College of Natural Medicine (t/a Endeavour College),Private HEP & VET
4464,Australian College of Nursing ,Private HEP
2142,Australian College of Physical Education,HEP (Retired)
4352,Australian College of Physical Education (ACPE),Private HEP
7026,Australian College of Sports Therapy Pty Ltd,VET
7001,Australian College of the Arts Pty Ltd (formerly Ausmusic Ltd) t/a College of the Arts,Private HEP & VET (Retired)
4248,Australian College of Theology,HEP (Retired)
4335,Australian College of Theology,Private HEP
1064,Australian Defence Force Academy,HEP (Retired)
7012,Australian Education Group Pty Ltd (t/a Elly Lukas),VET
7092,Australian English & Business College Pty Ltd,VET
2271,Australian Film Television and Radio School (AFTRS),Private HEP
4425,Australian Institute of Business Pty Ltd,Private HEP
7213,Australian Institute of Childcare Training,VET
7155,Australian Institute of Family Counselling ,VET
7321,Australian Institute of Fashion Design Pty Ltd (t/a Australian Institute of Fashion & Creative Design),VET
7536,Australian Institute of Fitness Pty Ltd,VET
7685,Australian Institute of Holistic Medicine (AIHM),VET
4458,Australian Institute of Management Education and Training,Private HEP & VET
4410,Australian Institute of Management SA Division (AIM SA),Private HEP (Retired)
4343,Australian Institute of Music Ltd,Private HEP
7352,Australian Institute of Personal Trainers Pty Ltd,VET
4405,Australian Institute of Professional Counsellors Pty Ltd,Private HEP
4388,Australian International Conservatorium of Music (AICM),Private HEP (Retired)
4345,Australian International Hotel School,HEP (Retired)
4342,Australian Lutheran College,HEP (Retired)
2239,Australian Maritime College,HEP (Retired)
7229,Australian Nursing and Midwifery Federation (SA Branch) (t/a Australian Nursing and Midwifery Education Centre (ANMEC)),VET
7553,Australian Salesmasters Training Co,VET
4418,Australian School of Management,Private HEP
7646,Australian Skills Group Pty Ltd,VET
7529,Australian Teachers of Dancing Limited,VET (Retired)
7532,Australian Vocational Learning Centre Pty Ltd,VET
7314,Australian Vocational Learning Institute Pty Ltd,VET
7143,Australian Wings Academy Pty Ltd,VET
2252,Avondale College of Higher Education,Private HEP & VET
4155,Ballarat Institute of Advanced Education,HEP (Retired)
4311,Ballarat School of Mines,HEP (Retired)
4316,Ballarat Teachers College,HEP (Retired)
4304,Balmain Teachers College,HEP (Retired)
7009,Baptist Business College,VET
4144,Baptist Theological College,HEP (Retired)
7094,Basair Australia Pty Ltd (t/a Basair Aviation College),VET
2246,Batchelor Institute of Indigenous Tertiary Education,Table A HEP & VET
2273,Bathurst College of TAFE,HEP (Retired)
7203,BCA National Training Group Pty Ltd (t/a BCA National Training Group),VET
7167,Beauty & Hair Academy of Australia,VET
7144,Benchmark Resources Pty Ltd,VET
2156,Bendigo College of Advanced Education,HEP (Retired)
4157,Bendigo Institute of Technology,HEP (Retired)
7082,Bendigo Kangan Institute,VET
4317,Bendigo Teachers College,HEP (Retired)
2277,Blacktown College of TAFE,HEP (Retired)
4357,Blue Mountains International Hotel Management School,Private HEP
3003,Bond University,Table B HEP
4366,Box Hill Institute,Private HEP & VET
2198,Brisbane College of Advanced Education,HEP (Retired)
4379,Brisbane College of Theology,HEP (Retired)
4199,Brisbane Kindergarten Teachers College,HEP (Retired)
7360,Bruce Hartwig Flying School Pty Ltd (t/a Bruce Hartwig Flying School and Aerocentre),VET
7585,Builders Academy Australia,VET
4158,Burnley Horticultural College,HEP (Retired)
4318,Burwood Teachers College,HEP (Retired)
7223,Calam Training Ltd,VET
4368,Campion College Australia,Private HEP
2243,Canberra College of TAFE,HEP (Retired)
4406,Canberra Institute of Technology,Private HEP & VET
2284,Canberra Institute of the Arts,HEP (Retired)
2244,Canberra School of Art,HEP (Retired)
2245,Canberra School of Music,HEP (Retired)
7133,Canterbury Business College Pty Ltd (t/a Canterbury Business College),VET
7631,Canterbury Technical Institute Pty Ltd,VET
7342,Capital Training Institute Pty Ltd,VET
7287,Captain Cook College,VET
7456,Career Education Association of Victoria Inc. (t/a CEAV Training),VET
7051,Careers Australia College of Healthcare Pty Ltd,VET (Retired)
7253,Careers Australia Education Institute Pty Ltd,VET
7171,"Careers Australia Institute of Training Pty Ltd (t/a Careers Australia Institute of Business, Careers Australia Institute of Hospitality)",VET (Retired)
4374,Carnegie Mellon University,Table C HEP
4404,Carrick Higher Education,Private HEP (Retired)
7210,Carrick Institute of Education Pty Ltd,VET (Retired)
4103,Catholic College of Education,HEP (Retired)
2105,Catholic College of Education Sydney Ltd,HEP (Retired)
4145,Catholic Institute of Sydney,HEP (Retired)
4107,Catholic Teachers College,HEP (Retired)
4159,Caulfield Institute of Technology,HEP (Retired)
4399,Cengage Education Pty Ltd,HEP (Retired)
7072,Central Institute of Technology,Private HEP & VET (Retired)
2200,Central Queensland University,Table A HEP & VET
8073,Central Regional TAFE,VET
7436,Challenger Institute of Technology,VET (Retired)
3001,Charles Darwin University,Table A HEP & VET
3005,Charles Sturt University,Table A HEP
4414,Chifley Business School,Private HEP
7073,Chisholm Institute of TAFE,Private HEP & VET
2160,Chisholm Institute of Technology,HEP (Retired)
4333,Christian Heritage College,Private HEP
7377,Churchill Education Pty Ltd as trustee for Decelle Investment Trust (t/a Churchill Education),VET
4238,Churchland Teachers College,HEP (Retired)
4228,Churchlands College,HEP (Retired)
7387,Cinimod Enterprises Pty Ltd (t/a Oxygen College),VET
4229,Claremont Teachers College,HEP (Retired)
7429,CMA Training Group Pty Ltd,VET
4319,Coburg Teachers College,HEP (Retired)
7088,College of Complementary Medicine NSW Pty Ltd (t/a The College of Complementary Medicine),VET
7373,College of Creative Design and Arts Pty Ltd (t/a College of Creative Design and Arts),VET (Retired)
4161,College of Nursing Australia,HEP (Retired)
4365,Colleges of Business and Technology WA (t/a Curtin College),Private HEP
7002,Community Training Australia Pty Ltd,VET
7010,"Computer Graphics School, The",VET
7276,Contour Systems Pty Ltd (t/a Contour College),VET
7343,Conwal and Associates Pty Ltd,VET
7248,Cornerstone Investment Aust Pty Ltd (t/a Australian Institute of Commerce and Language),VET
7463,Cronin Pty Ltd (t/a Gold Coast School of Beauty Therapy),VET
2109,Cumberland College of Health Sciences,HEP (Retired)
2236,Curtin University of Technology,Table A HEP
7445,CY O'Connor Institute,VET (Retired)
4247,Darwin Community College,HEP (Retired)
2255,Darwin Institute of Technology,HEP (Retired)
4348,Deakin College,Private HEP
1010,Deakin University,HEP (Retired)
3017,Deakin University,HEP (Retired)
3030,Deakin University,Table A HEP
7742,Demi International Beauty Academy,VET
7111,Design College Australia Pty Ltd,VET
7347,Design Schools Australia Pty Ltd (t/a Sydney Design School),VET
7620,Diversity Skills Training Pty Ltd,VET
7469,DLDC Pty Ltd (t/a Davidia Lind Dance Centre),VET
4162,Dookie Agricultural College,HEP (Retired)
7422,Durack Institute of Technology,VET (Retired)
4358,East Coast Gestalt Training,HEP (Retired)
7115,East Gippsland Institute of TAFE,VET (Retired)
2235,Edith Cowan University,Table A HEP & VET
7139,Education Centre Gippsland,VET
4391,Educational Enterprises Australia (Eynesbury College),Private HEP
7020,Ella Bache College Pty Ltd (t/a Ella Bache College of Skin and Beauty Therapy),VET
4163,Emily McPherson College,HEP (Retired)
7159,Emmas Secret Investments Pty Ltd,VET
7184,Emmaus Bible School. Australia Limited (t/a Emmaus Bible College),VET
7307,Empower College,VET
7262,Equals International Pty Ltd,VET
7591,Estrada College,VET
4346,Excelsia College,Private HEP
2278,External Studies Centre,HEP (Retired)
7068,Federation Training,VET
2154,Federation University Australia,Table A HEP & VET
7172,Flight Training Adelaide Pty Ltd (t/a Adelaide Flight Training Centre),VET 
3029,Flinders University of South Australia,Table A HEP
2164,Footscray Institute of Technology,HEP (Retired)
4312,Footscray Technical College,HEP (Retired)
7767,Forsythes Training Pty Limited,VET
7230,Foundation for Education and Training Ltd (t/a Kenvale College),VET
7566,Fox Education and Consultancy,VET
7365,Franklyn Scholar (Australia) Pty Ltd (t/a Franklyn Scholar),VET
4320,Frankston Teachers College,HEP (Retired)
4392,Gestalt Therapy Brisbane,Private HEP
2165,Gippsland Institute of Advanced Education,HEP (Retired)
4166,Glenormiston Agricultural College,HEP (Retired)
7729,Global Training Institute Pty Ltd,VET
2270,Gold Coast College of Advanced Education,HEP (Retired)
7101,Gold Coast Institute of TAFE,VET
7329,Gold Coast Training Academy,VET
7447,Goldfields Institute of Technology,VET (Retired)
7049,Golf Education Australia Pty Ltd,VET
4111,Good Samaritan Teachers College,HEP (Retired)
4372,Gordon Institute of TAFE,HEP (Retired) & VET
4167,Gordon Institute of Technology,HEP (Retired)
4112,Goulburn College of Advanced Education,HEP (Retired)
7145,Goulburn Ovens Institute of TAFE,VET
4303,Goulburn Teachers College,HEP (Retired)
7697,Gowrie Victoria,VET
7370,GP Links Wide Bay Ltd (t/a Health Industry Training Queensland),VET
4231,Graylands Teachers College,HEP (Retired)
7426,Great Southern Institute of Technology,VET (Retired)
1016,Griffith University,HEP (Retired)
3008,Griffith University,HEP (Retired)
3024,Griffith University,HEP (Retired)
3032,Griffith University,Table A HEP
4409,Group Colleges Australia (t/a Universal Business School Sydney),Private HEP
7185,Gurkhas Institute of Technology Pty Ltd,VET
2285,Hamilton College of Technical and Further Educatio,HEP (Retired)
4218,Hartley College of Advanced Education,HEP (Retired)
4341,Harvest Bible College,Private HEP & VET
7503,Harvest Education Technical College,VET
4403,Harvest West Bible College,Private HEP & VET (Retired)
2114,Hawkesbury Agricultural College,HEP (Retired)
2193,Hawthorn Institute of Education,HEP (Retired)
7050,Headmasters Academy Pty Ltd (t/a Headmasters Advanced Academy Training),VET
7306,Health Careers International Pty (t/a Institute of Health and Nursing Australia),VET
7251,Health Skills Australia Pty Ltd,VET
7383,Health Train Education Services Pty Ltd (t/a HealthTrain),VET (Retired)
7153,Helene Abicair College of Advanced Beauty Therapy,VET
7013,Help Enterprises,VET
7245,Holmes Commercial Colleges (Melbourne) Limited (t/a Melbourne School of Fashion),VET
4339,Holmes Institute,Private HEP & VET
4383,Holmesglen Institute of TAFE ,Private HEP & VET
7047,Hope of the Gold Coast Ltd (t/a Hope College),VET
2124,Hunter Institute of Higher Education,HEP (Retired)
7441,Impact Training Centre Ltd (t/a Life Leadership College and Life Impact Training),VET
7411,Impel Solutions Pty Ltd as Trustee for the Hall Investment Trust (t/a Train 2 Learn),VET (Retired)
7663,Innovative Business Training Pty Ltd,VET
4380,Insearch,Private HEP
7071,Inspiritive,VET
2189,Institute of Catholic Education,HEP (Retired)
4390,Institute of Counselling Incorporated,HEP (Retired)
7396,Intellitrain Pty Ltd,VET
4362,International College of Hotel Management (ICHM),Private HEP & VET
4381,"International College of Management, Sydney (ICMS)",Private HEP
2282,International Colleges of Osteopathy,HEP (Retired)
7023,International Film School Sydney Pty Ltd,VET
7495,International Screen Academy Pty Limited (t/a International Screen Academy),VET
7537,International Skills Institute,VET
4445,Investment Banking Institute Business Schools Pty Ltd,Private HEP
7379,IT Futures,VET
1019,James Cook University,Table A HEP
4202,James Cook University - Institute of Advanced Educ,HEP (Retired)
4373,Jansen Newman Institute Pty Ltd,HEP (Retired)
7014,Jazz Music Institute,Private HEP & VET
7401,Jigsaw Consulting Group Pty Ltd,VET
7280,Job Training Institute Pty Ltd,VET
4426,"John Paul ll Institute for Marriage and Family, Melbourne",Private HEP
7058,Jschool:  Journalism Education & Training Pty Ltd,VET
7485,Just Careers Training Pty Ltd,VET
7027,Kal Multimedia Training Pty Ltd,VET
7130,Kangan Batman Institute of TAFE,VET (Retired)
2203,Kangaroo Point College of TAFE,HEP (Retired)
4384,Kaplan Business School,Private HEP
4424,Kaplan Higher Education Pty Ltd (t/a Murdoch Institute of Technology),Private HEP
4329,Kedron Park Teachers College,HEP (Retired)
4204,Kelvin Grove College of Advanced Education,HEP (Retired)
7661,Kiama Community College Incorporated,VET
7442,Kimberley Training Institute,VET (Retired)
7077,Kings International College Ltd,VET (Retired)
4219,Kingston College of Advanced Education,HEP (Retired)
4307,Kingswood College of Advanced Education,HEP (Retired)
7244,Kirana Training Pty Ltd,VET
7380,Kreate Pty Ltd,VET
2115,Kuring-gai College of Advanced Education,HEP (Retired)
2279,Kurri Kurri College of TAFE,HEP (Retired)
4353,KvB Institute of Technology,HEP (Retired)
7325,La Trobe International Galleries Pty Ltd (t/a Latrobe College of Art & Design),VET
1022,La Trobe University,HEP (Retired)
3020,La Trobe University,Table A HEP
4421,Le Cordon Bleu Australia,Private HEP
7636,Lennox Institute Pty Limited,VET
4402,Leo Cussen Centre for Law,Private HEP
2168,Lincoln Institute of Health Sciences,HEP (Retired)
4309,Lismore Teachers College,HEP (Retired)
7288,Logic Entity Australia Pty. Ltd. (t/a Abbey College Australia),VET
4169,Longerenong Agricultural College,HEP (Retired)
7473,LTT Group Pty Ltd,VET
2116,Macarthur Institute of Higher Education,HEP (Retired)
2205,Mackay College of TAFE,HEP (Retired)
4386,Macleay College,Private HEP
7464,Macquarie Employment Training Service Inc.,VET
3025,Macquarie University,Table A HEP
7521,Malekhu Investments Pty Ltd,VET
7394,Management Consultancy International Pty Limited,VET
2170,Marcus Oldham College,Private HEP
7135,Marjorie Milner College,VET
7093,Marr Mooditj Training Inc,VET
7235,Mater Education Limited,VET
7515,MBTC - Macquarie Business Training Centre,VET
2206,McAuley College,HEP (Retired)
4331,MCD University of Divinity,Table B HEP
7036,MEGT Australia Ltd,VET
2171,Melbourne College of Advanced Education,HEP (Retired)
7590,Melbourne College of Hair and Beauty,VET
